id,query,expected_answer,source_document,document_type,graph_expected_document
gs-27,What historically erroneous decision does Planned Parenthood v. Casey cite as an example of a doctrine that 'lasted 58 years' before being corrected?,"Casey cites Plessy v. Ferguson, 163 U.S. 537 (1896), as an example of an erroneous decision -- specifically its 'separate but equal' doctrine, which the opinion notes lasted 58 years after Plessy before being corrected.",Planned Parenthood of Southeastern Pennsylvania v. Casey,court_judgment,Plessy v. Ferguson
gs-28,What case does Planned Parenthood v. Casey cite as an example of the Court correctly correcting one of its own errors despite a generation having grown used to the earlier decision?,"Casey cites Brown v. Board of Education, 347 U.S. 483 (1954), as an example where the Court corrected its error in rejecting the 'separate but equal' doctrine, alongside West Coast Hotel Co. v. Parrish overruling Adkins v. Children's Hospital.",Planned Parenthood of Southeastern Pennsylvania v. Casey,court_judgment,Brown v. Board of Education
gs-29,What earlier First Amendment case does Citizens United v. FEC cite for the principle that doubt should be resolved in favor of protecting speech rather than stifling it?,"Citizens United cites New York Times Co. v. Sullivan, 376 U.S. 254, 269-270 (1964), for the principle that First Amendment standards must give the benefit of any doubt to protecting rather than stifling speech.",Citizens United v. Federal Election Commission,court_judgment,New York Times Co. v. Sullivan
gs-30,"According to Citizens United v. FEC, when did the Court first consider applying the First Amendment to speech restrictions other than prior restraints, and which case marked that point?","Citizens United states that the Court did not consider application of the First Amendment to speech restrictions other than prior restraints until 1919, in Schenck v. United States, 249 U.S. 47.",Citizens United v. Federal Election Commission,court_judgment,Schenck v. United States
gs-31,What did the Supreme Court hold in Gideon v. Wainwright regarding the right to counsel for indigent defendants in state criminal trials?,"The Court held that the right of an indigent defendant in a criminal trial to have the assistance of counsel is a fundamental right essential to a fair trial, and that Gideon's trial and conviction without the assistance of counsel violated the Fourteenth Amendment. The Court overruled Betts v. Brady, 316 U.S. 455, in reaching this holding.",Gideon v. Wainwright,court_judgment,
gs-32,What did the Supreme Court hold in Mapp v. Ohio regarding evidence obtained through unconstitutional searches and seizures in state criminal trials?,"The Court held that all evidence obtained by searches and seizures in violation of the Federal Constitution is inadmissible in a criminal trial in a state court, overruling Wolf v. Colorado, 338 U.S. 25, to the extent it held otherwise.",Mapp v. Ohio,court_judgment,
gs-33,What standard did the Supreme Court apply in Terry v. Ohio to justify a police officer's pat-down search of a suspect for weapons?,"The Court held that an officer who has reasonable cause to believe that a person he is investigating is armed and dangerous may conduct a limited pat-down of the outer clothing for weapons, for his own protection, even absent probable cause to arrest.",Terry v. Ohio,court_judgment,
gs-34,What did the Supreme Court hold in Tinker v. Des Moines Independent Community School District regarding students wearing armbands to school as a form of protest?,"The Court held that the students' wearing of black armbands to protest the Vietnam War was quiet, passive, non-disruptive conduct protected by the Free Speech Clause of the First Amendment and the Due Process Clause of the Fourteenth Amendment, and that students do not shed their constitutional rights to freedom of speech at the schoolhouse gate.",Tinker v. Des Moines Independent Community School District,court_judgment,
gs-35,What did the Supreme Court hold in Roe v. Wade regarding a woman's constitutional right of privacy and the decision to terminate a pregnancy?,"The Court held that the constitutional right of privacy, whether founded in the Fourteenth Amendment's concept of personal liberty or the Ninth Amendment's reservation of rights to the people, is broad enough to encompass a woman's decision whether or not to terminate her pregnancy.",Roe v. Wade,court_judgment,
gs-36,What standard did the Supreme Court establish in New York Times Co. v. Sullivan for public officials seeking damages for defamatory statements about their official conduct?,"The Court held that a public official cannot recover damages for a defamatory falsehood relating to their official conduct unless they prove the statement was made with 'actual malice' -- that is, with knowledge that it was false or with reckless disregard of whether it was false or not.",New York Times Co. v. Sullivan,court_judgment,
gs-37,What did the Supreme Court hold in Korematsu v. United States regarding the wartime exclusion order affecting persons of Japanese ancestry?,"The Court affirmed Korematsu's conviction, holding that the exclusion order under which he was convicted was valid even though evacuation and detention in an assembly center were inseparable from the exclusion itself.",Korematsu v. United States,court_judgment,
gs-38,What did the Supreme Court hold in Gibbons v. Ogden regarding the scope of Congress's power to regulate commerce among the states?,"The Court held that Congress's power over commerce with foreign nations and among the several states is as plenary and absolute, within its specified objects, as it would be in a single unified government, subject only to the restrictions found in the Constitution itself.",Gibbons v. Ogden,court_judgment,
gs-39,What principle did the Supreme Court establish in McCulloch v. Maryland regarding a state's power to tax an instrumentality of the federal government?,"The Court held that the power to tax involves the power to destroy, and that a state may not tax an instrumentality of the federal government such as the Bank of the United States, because doing so would allow one government to control and potentially defeat the constitutional measures of another government that is supreme over it.",McCulloch v. Maryland,court_judgment,
gs-40,What did the Supreme Court hold in Bush v. Gore regarding the manual recount of ballots ordered by the Florida Supreme Court?,"The Court held that the recount procedures ordered by the Florida Supreme Court, lacking uniform standards for determining voter intent across counties, violated the Equal Protection Clause, and that no constitutionally valid recount could be completed by the December 12 safe-harbor deadline.",Bush v. Gore,court_judgment,
